title
Managing IT in the Digital Age
Management de l'IT à l'ère numérique
Managing Plans and Projects
Organization Theory & Behaviour
Atelier de négociation
International Strategy & Management
Publicité
Negotiation Workshop
Entrepreneuriat
Stratégie et management
Intercultural Management
International Luxury Distribution
Droit des contrats
Business Economics
e-business Strategy&Operations
Le cinéma allemand - niveau B/C
Droit & politiques de l'Europe
Luxury Retail Management
Corporate Strategy
Finance immobilière
Marketing management (en français)
Innovation Process Management
Competitive Strategy
Anthropologie marques de luxe
Droit des médias
Fondements de la finance
Capital investissement
Espagnol intermédiaire - niveau D
Français débutant suite de la FTS - niveau D
Options
Marketing Management (in English)
Consumer Behavior
International Marketing
Mise en scène du comportement
L'Espagne et ses particularités - niveau C/D
Sustainability Performance
Profils personnels et carrière
Théorie & comportement organisation
Excel avancé pour managers
Economie managériale
Strategy and Management
Corporate Financial Management
Philosophy and Trade
Chef de produit
Communication et culture (1) - Niveau B
Principles of Finance
Marketing Research
Advanced Business English - niveau A/B
Gestion de projet
Mergers and Acquisitions
Entrepreneurship
Strategic Cost Management
Macroeconomic Theory & Development
Création de produit innovant 1
Concevoir un projet d'entreprise
Anthropology of Luxury Brands
Big Data Analytics
Product Management
Financial Markets
Info comptables et financières
Evaluation stratégique et fin.
Communication orale avancée - niveau B/C
Management of Organizations
Financial Accounting & Reporting
Services Management & Mkg
Business Ethics
Advanced Excel for Managers
E-Business Entrepreneurship
Financial Statement Analysis
New venture design & planning
Introduction à l'Amérique Latine - niveau B/C
Monnaie et banque
Chinois Langue et Culture (1) - niveau C
Global Strategy & Luxury Business
Finance internationale
"Séminaire Management : ""Regarder l’Echec en face"""
Les fondements de la stratégie
Doing Business
Portfolio & Investment
Lux. Retail Excel. & Merchand
New Business Dvpt-Agri-food Sect.
Gestion financière court terme
Management of International Operations
Langage C
Pratique conseil en stratégie
International Finance
Agri-food Commodity Markets
Digital Marketing Strategy
Mging.Social Relion & Networks
Management Control
Cinéma et Société - niveau B/C
Contrôle de gestion
Negotiating in English (1) - niveau B/C
"Department seminar in ECO on the theme: ""Nobel Ideas in Economics"""
Droit urbanisme & immobilier
B2B Marketing
Civilisation française (1) - niveau C/D
Stratégie de l'Industrie du Voyage
